State	LogProb	m[0][0]	m[0][1]	m[0][2]	m[0][3]	m[0][4]	m[0][5]	m[0][6]	m[1][0]	m[1][1]	m[1][2]	m[1][3]	m[1][4]	m[1][5]	m[1][6]	m[2][0]	m[2][1]	m[2][2]	m[2][3]	m[2][4]	m[2][5]	m[2][6]	m[3][0]	m[3][1]	m[3][2]	m[3][3]	m[3][4]	m[3][5]	m[3][6]	m[4][0]	m[4][1]	m[4][2]	m[4][3]	m[4][4]	m[4][5]	m[4][6]	m[5][0]	m[5][1]	m[5][2]	m[5][3]	m[5][4]	m[5][5]	m[5][6]	m[6][0]	m[6][1]	m[6][2]	m[6][3]	m[6][4]	m[6][5]	m[6][6]	
22000	-5229.82	0.866702	0.0413976	0.0132235	0.0322423	0.00466824	0.00584892	0.0359177	0.0218504	0.880532	0.0060778	0.0712927	0.00838816	0.00573478	0.00612378	0.0139202	0.0576717	0.803543	0.0690597	0.0172136	0.015174	0.0234176	0.0228895	0.0662028	0.00751834	0.844596	0.0271671	0.020537	0.0110896	0.0443498	0.0813069	0.0311578	0.0609542	0.698057	0.0725272	0.0116466	0.0409853	0.0087901	0.0556802	0.153485	0.00883441	0.695279	0.0369459	0.0325652	0.0282319	0.0518782	0.17074	0.0137468	0.0254729	0.677365	
24000	-5254.76	0.925695	0.00132847	0.0197535	0.0191117	0.00109355	0.00117925	0.0318381	0.00786655	0.965891	0.00699106	0.00972619	0.00403322	0.00487871	0.000613069	0.0129872	0.0256434	0.755134	0.0766805	0.0144791	0.0760926	0.0389836	0.012949	0.0664125	0.00766667	0.86694	0.00476444	0.00492548	0.036342	0.0712035	0.0725437	0.0273287	0.0281793	0.688191	0.0388696	0.0736842	0.0082189	0.00406156	0.221461	0.0212708	0.0422045	0.679891	0.0228927	0.000160454	0.0487663	0.0348615	0.117578	0.0762969	0.0187024	0.703635	
26000	-5240.41	0.912511	0.00978453	0.00762866	0.00332781	0.0177774	0.0070754	0.0418947	0.00436661	0.912243	0.00897612	0.0440166	0.0156838	0.00487871	0.00983473	0.0100743	0.0215361	0.856419	0.0620602	0.0121252	0.0186099	0.0191753	0.00749798	0.0734533	0.00990324	0.893597	0.00476444	0.00668102	0.00410256	0.143074	0.0215808	0.0445931	0.0399368	0.714967	0.0142057	0.0216427	0.0314904	0.0361578	0.0706137	0.0825811	0.0150672	0.685592	0.0784976	0.0186304	0.0508878	0.0315178	0.155149	0.0172681	0.0380693	0.688477	
28000	-5251.15	0.844398	0.0183177	0.0428158	0.0209998	0.044195	0.0107321	0.0185416	0.00436661	0.951727	0.01917	0.00938144	0.00559146	0.000663695	0.00909976	0.0299788	0.0514484	0.80147	0.0795331	0.00585325	0.00455791	0.0271583	0.0177373	0.127473	0.0064812	0.83298	0.00293221	0.00668102	0.00571593	0.172284	0.0462183	0.0286852	0.0161577	0.682962	0.0421111	0.0115821	0.0258803	0.0935415	0.0497427	0.101382	0.0287604	0.687948	0.012745	0.0146294	0.0155413	0.0955424	0.161606	0.0029707	0.0195401	0.69017	
30000	-5228.73	0.851694	0.0394104	0.0214483	0.0216335	0.0491719	0.00672942	0.00991206	0.019602	0.908049	0.00812371	0.041936	0.0039159	0.0123852	0.00598837	0.00473189	0.0404932	0.843649	0.0600348	0.00738476	0.0141939	0.0295122	0.0158801	0.0918172	0.0139304	0.858199	0.004906	0.00668102	0.0085866	0.151468	0.0338232	0.0174909	0.0847495	0.695251	0.0115868	0.0056313	0.00825327	0.00101309	0.128754	0.116508	0.0116855	0.702097	0.0316884	0.0178278	0.0791371	0.0115626	0.194497	0.00315141	0.000494192	0.693329	
32000	-5233.57	0.871859	0.0115299	0.03973	0.0182157	0.0474053	0.00895832	0.00230206	0.00889294	0.898082	0.00303398	0.0543057	0.0142215	0.000299443	0.0211642	0.0186607	0.0396157	0.82061	0.095306	0.000789224	0.00800738	0.0170112	0.01745	0.0716114	0.00816929	0.878218	0.00802316	0.0102351	0.00629317	0.136096	0.030782	0.00568081	0.059151	0.710202	0.0178575	0.040231	0.0790884	0.0319949	0.0222748	0.168034	5.26934e-005	0.674514	0.0240411	0.00840418	0.083159	0.0600397	0.165359	0.00109926	0.000872668	0.681066	
34000	-5238.21	0.863039	0.00604459	0.0664434	0.0193343	0.0311527	0.0116845	0.00230206	0.0784709	0.786665	0.00303398	0.117432	0.00197742	0.000299443	0.0121213	0.025913	0.0360162	0.758151	0.161783	0.0139589	0.00178419	0.00239315	0.0403463	0.0721222	0.00510875	0.85922	0.00802316	0.00903886	0.00614104	0.153295	0.044919	0.00400551	0.0400036	0.69074	0.0326163	0.0344209	0.0473134	0.0288835	0.0818764	0.0970026	0.0239506	0.68275	0.0382238	0.00813524	0.0558485	0.011576	0.219102	0.0194536	0.0171313	0.668753	
36000	-5239.32	0.851873	0.0320142	0.0167025	0.0311768	0.0386101	0.0190349	0.0105883	0.0132918	0.869506	0.0124012	0.0695986	0.00666285	0.00456583	0.0239733	0.0221714	0.0383797	0.795836	0.125957	0.000272321	0.00904438	0.00833914	0.0170168	0.0743816	0.00875976	0.884854	0.00661469	0.000989492	0.00738393	0.175443	0.0546927	0.0245944	0.00173273	0.725882	0.0142906	0.00336426	0.0526249	0.0726273	0.0546478	0.130649	0.00478019	0.67282	0.0118504	0.0137553	0.0576884	0.0187338	0.212786	0.0162569	0.00574695	0.675033	
38000	-5248.6	0.892309	0.0263088	0.0147243	0.0285582	0.0128473	0.0125657	0.0126863	0.0158306	0.783687	0.000482405	0.13309	0.0198195	0.00147988	0.0456101	0.0182136	0.0512729	0.789726	0.127856	0.00496115	0.00228135	0.00568908	0.0180974	0.105865	0.0207435	0.845401	0.00263092	0.00044056	0.00682155	0.162243	0.0651462	0.0110161	0.000727397	0.671775	0.0626471	0.0264453	0.0558611	0.017791	0.0230217	0.177146	0.0251924	0.685964	0.0150243	0.00228754	0.072065	0.0192781	0.194325	0.000308966	0.00496964	0.706766	
40000	-5268.61	0.935349	0.00036375	0.0179906	0.00147259	0.0322198	0.0113997	0.00120471	0.0291664	0.865733	0.00256843	0.0681458	0.00457123	0.000765661	0.0290493	0.023918	0.0134784	0.753348	0.152064	0.0180429	0.0249208	0.014228	0.00609724	0.138137	0.00435967	0.831743	0.00189907	0.0109428	0.00682155	0.207174	0.0182126	0.0268327	0.0373448	0.696506	0.00529756	0.00863275	0.0995017	0.058419	0.0567699	0.0768089	0.0205613	0.683882	0.00405711	0.0133778	0.10256	0.00506453	0.15694	0.0124519	0.0189531	0.690653	
42000	-5251.03	0.928396	0.00036375	7.91727e-005	0.00861351	0.0344981	0.0225092	0.00554041	0.022667	0.769055	0.0491787	0.135761	0.0103616	0.000765661	0.0122105	0.0119622	0.049415	0.715811	0.197777	0.00350899	0.0129164	0.00860965	0.00939836	0.0785547	0.00600118	0.879147	0.00145108	0.00598226	0.0194658	0.229753	0.00809217	0.00481057	0.0327232	0.681189	0.014738	0.0286942	0.0599065	0.0389133	0.0130595	0.173234	0.0173994	0.669675	0.0278124	0.0386026	0.0468097	0.0290117	0.172156	0.00356773	0.0172811	0.692571	
44000	-5248.97	0.933592	0.00714438	0.0162922	0.0244366	0.00345497	0.0138586	0.00122121	0.0178317	0.788018	0.0129958	0.113866	0.0264909	0.0304834	0.0103149	0.00176652	0.0126175	0.77317	0.185151	0.00550282	0.00815516	0.0136368	0.0298352	0.0598089	0.00941759	0.854058	0.00615073	0.00501364	0.0357157	0.155818	0.039702	0.0157553	0.0369281	0.700304	0.00804539	0.0434468	0.0694456	0.0145356	0.0258628	0.106386	0.0912426	0.67434	0.0181877	0.00917797	0.123192	0.0100215	0.164332	0.0110821	0.0137936	0.668402	
46000	-5247.74	0.941714	0.00230373	0.00782155	0.0094564	0.00557544	0.00258894	0.0305396	0.0213433	0.846914	0.00439723	0.108662	0.0116884	0.00546764	0.00152758	0.00426312	0.037463	0.718731	0.229569	0.00719021	0.00192346	0.000860797	0.0302755	0.0535929	0.00727368	0.885012	0.0101994	0.00708404	0.00656209	0.181164	0.00664185	0.0315621	0.0426789	0.691928	0.00921515	0.03681	0.0278406	0.110651	0.0556449	0.0462148	0.0384856	0.710358	0.0108056	0.0523219	0.0525147	0.0125171	0.201794	0.0105147	3.69001e-005	0.6703	
48000	-5261.51	0.905536	0.039768	0.00149679	0.0153682	0.00622713	0.0181536	0.0134501	0.0429574	0.884431	0.0189665	0.0408352	0.00190215	0.0047844	0.00612301	0.0188561	0.00880354	0.721518	0.205851	0.0322512	0.00111467	0.0116056	0.0451038	0.0530528	0.00526454	0.875309	0.00451154	0.00842311	0.00833486	0.183975	0.00756768	0.0192594	0.0706783	0.699136	0.00304738	0.0163363	0.122706	0.0122302	0.0214958	0.0938098	0.0183376	0.713977	0.0174433	0.0104514	0.0305314	0.0207857	0.248391	0.00961472	0.00687166	0.673355	
50000	-5276.91	0.896427	0.0620927	0.000262707	0.0202697	0.0181125	0.00160908	0.00122636	0.0531841	0.86546	0.0084034	0.0511153	0.00650665	0.00500185	0.0103289	0.0257521	0.015873	0.748652	0.150616	0.0199133	0.0033867	0.0358074	0.0227327	0.106326	0.00941415	0.854504	0.0040566	0.00116633	0.00180051	0.176614	0.0484975	0.0119552	0.0381049	0.682821	0.0240724	0.0179355	0.023359	0.0189319	0.0613645	0.0994041	0.0686742	0.693776	0.0344904	0.0177378	0.0644315	0.0107991	0.164555	0.0293151	0.0318636	0.681298	
52000	-5265.75	0.940397	0.0229293	0.0130863	0.0149735	4.09394e-005	0.00734641	0.00122636	0.0392553	0.893498	0.00510055	0.0155866	0.017397	0.00376548	0.0253973	0.039122	0.0239543	0.759088	0.156949	0.00613797	0.00729054	0.00745828	0.0232104	0.0605999	0.00264253	0.894237	0.0172931	0.000216222	0.00180051	0.187151	0.00651851	0.0439646	0.057429	0.673051	0.0106058	0.0212804	0.0922254	0.017936	0.00865781	0.139404	0.0396162	0.678335	0.023825	0.0316815	0.0933586	0.0034526	0.189788	0.00475575	0.00481601	0.672147	
54000	-5276.96	0.941367	0.0192024	0.00676468	0.00662883	0.0135332	0.00814096	0.00436291	0.00293568	0.828079	0.000522859	0.079014	0.0307745	0.0140856	0.0445882	0.0152061	0.0243797	0.807418	0.0877096	0.00979247	0.0312331	0.0242606	0.0191363	0.0641961	0.00592038	0.909137	0.000619501	0.000579016	0.000411738	0.21363	0.0104653	0.0352807	0.016986	0.677841	0.0173656	0.0284319	0.0467339	0.0419371	0.107546	0.127718	0.00219652	0.670664	0.00320457	0.0043804	0.0401273	0.0311118	0.206707	0.0117968	0.0231132	0.682763	
56000	-5302.45	0.902283	0.00180676	0.0231353	0.0563471	0.0100645	0.00289956	0.00346376	0.00241112	0.798393	0.00736537	0.140356	0.0313535	0.0119421	0.00817847	0.0102361	0.0101161	0.799168	0.077296	0.0880092	0.0146506	0.000524228	0.030553	0.0308299	0.0104596	0.908327	0.000619501	0.00570191	0.0135093	0.217406	0.00411112	0.0172337	0.0430079	0.676457	0.0199381	0.0218459	0.0335474	0.011623	0.0491552	0.154983	0.026718	0.687727	0.0362465	0.0239893	0.0570976	0.0102134	0.224273	0.00157056	0.0056556	0.6772	
58000	-5300.4	0.927344	0.00806534	0.0255039	0.0180329	0.00229429	0.00157599	0.0171839	0.0209753	0.85438	0.00781147	0.0724922	0.00472526	0.0273373	0.0122783	0.0541731	0.00962397	0.761566	0.130094	0.00564918	0.0147423	0.0241509	0.0182549	0.0287578	0.0116662	0.924558	0.00766446	0.0011924	0.00790593	0.236901	0.0392579	0.0101491	0.0117506	0.670727	0.0229468	0.00826756	0.0656424	0.0165112	0.0513243	0.105291	0.0267698	0.72604	0.00842108	0.00889959	0.115408	0.0109029	0.176981	0.00340782	0.00648541	0.677916	
60000	-5254.14	0.936698	0.00333931	0.00418932	0.0339032	0.00402255	0.00153987	0.016308	0.00563773	0.801398	0.0267494	0.158772	0.00194619	0.00537846	0.000118249	0.0138062	0.00563367	0.803418	0.145037	0.0057361	0.019178	0.00719118	0.00850347	0.0225317	0.00350804	0.945811	0.00902194	0.00894418	0.00167974	0.207128	0.0459883	0.047797	0.00678928	0.679866	0.00586942	0.00656278	0.047985	0.0229865	0.0388116	0.190597	0.0235137	0.672134	0.00397266	0.000108637	0.0906756	0.0434334	0.161274	0.0162851	0.010716	0.677507	
62000	-5271.58	0.921653	0.0182873	0.00563574	0.0146695	0.0227245	0.0146399	0.00238999	0.0353623	0.831711	0.00534152	0.11081	0.00173176	0.00991456	0.00512885	0.0372549	0.0130435	0.763351	0.147296	0.0118504	0.00675543	0.0204484	0.0223284	0.0536273	0.00867448	0.902814	0.00902194	0.00174953	0.00178435	0.23582	0.0104574	0.00835771	0.0368737	0.67033	0.0226958	0.0154654	0.0297769	0.0285595	0.0897089	0.141513	0.0192773	0.673776	0.0173885	0.0445501	0.0740645	0.00662645	0.155427	0.0478385	0.00416997	0.667323	
64000	-5258.25	0.856148	0.0232815	0.0126818	0.0161727	0.00866673	0.0663166	0.0167322	0.0265664	0.80108	0.00452299	0.14327	0.0161044	0.0029515	0.0055047	0.0095962	0.0103887	0.813218	0.127706	0.0115612	0.0188768	0.00865366	0.0183735	0.0594934	0.0181478	0.878945	0.0215062	0.00174953	0.00178435	0.203463	0.029237	0.020015	0.0221973	0.691785	0.0277009	0.00560205	0.0831461	0.0502088	0.091929	0.0504944	0.0365513	0.670076	0.0175942	0.0345824	0.0388372	0.0141299	0.168566	0.0388718	0.00650738	0.698506	
66000	-5247.06	0.863848	0.0583895	0.00543371	0.0032196	0.0139724	0.00677284	0.0483635	0.0190535	0.879434	0.00272957	0.0880808	0.0100443	0.00039025	0.000267967	0.017042	0.00546802	0.83373	0.122289	0.000123832	0.0132033	0.00814381	0.010302	0.0256779	0.0530514	0.903329	0.00237817	0.00403414	0.00122735	0.2394	0.0362949	0.0347904	0.0147217	0.668401	0.00468236	0.00170981	0.094762	0.00631809	0.0488783	0.159496	0.00230352	0.685464	0.00277826	0.00557037	0.0802839	0.00514073	0.144099	0.0174847	0.0552397	0.692181	
68000	-5263.05	0.913431	0.0263856	0.00543371	0.027516	0.00408935	0.00530288	0.0178418	0.00749138	0.78246	0.00554871	0.176494	0.00146923	0.0182749	0.00826172	0.0147564	0.0368918	0.779506	0.12292	0.0096835	0.0290333	0.00720829	0.00619319	0.0787404	0.00821891	0.886293	0.010808	0.00533204	0.00441408	0.229444	0.0429653	0.0169954	0.0109475	0.67527	0.00789753	0.0164805	0.0370315	0.030994	0.0359211	0.0772785	0.0229869	0.73974	0.0560479	0.003966	0.0918532	0.0613801	0.150261	0.0137296	0.0117223	0.667087	
70000	-5255.6	0.885234	0.0260707	0.00861096	0.0214708	0.0105301	0.00916563	0.0389182	0.00841244	0.78521	0.00142311	0.156861	0.013994	0.0277525	0.00634704	0.017832	0.0295346	0.79136	0.10158	0.0461971	0.0107114	0.00278527	0.0190655	0.0417732	0.0434652	0.881949	0.00744189	0.00329633	0.00300888	0.213681	0.0311695	0.0454122	0.00465023	0.667091	0.0239584	0.0140378	0.0156842	0.00541153	0.11339	0.103068	0.000971719	0.744861	0.0166129	0.00337656	0.0609384	0.0759186	0.142561	0.00860896	0.0216728	0.686924	
72000	-5227.25	0.891424	0.00934015	0.000454842	0.0247189	0.0533007	0.0114527	0.00930863	0.00681686	0.803003	0.016098	0.133456	0.0207295	0.00281103	0.0170851	0.0240302	0.0279474	0.839971	0.070142	0.0122298	0.005935	0.0197449	0.00782775	0.0975247	0.0159933	0.875753	0.000793495	0.000911305	0.00119671	0.200139	0.0152384	0.0619329	0.017806	0.672817	0.0170855	0.0149806	0.00680721	0.0045839	0.226787	0.0509854	0.0178343	0.686239	0.00676384	0.00765434	0.104387	0.044707	0.115979	0.0244057	0.0329391	0.669928	
74000	-5225.34	0.909604	0.0178134	0.000236719	0.0076414	0.0235123	0.00145399	0.0397379	0.0038754	0.72859	0.0427124	0.159586	0.0012909	0.0150165	0.0489286	0.0105342	0.0687642	0.752623	0.113094	0.00542553	0.0392118	0.0103471	0.0118817	0.0628631	0.0566272	0.86058	0.00522361	0.000911305	0.00191264	0.150316	0.0275855	0.0558009	0.036063	0.689665	0.0170658	0.0235035	0.0334252	0.0464584	0.167502	0.0280767	0.0159701	0.707429	0.00113921	0.00334384	0.120359	0.0193298	0.128592	0.0121689	0.0402568	0.67595	
76000	-5192.82	0.955942	0.00873611	0.00750155	0.00574138	0.000775166	0.00392483	0.0173792	0.00469308	0.844997	0.00275368	0.130873	0.000633758	0.00557276	0.0104769	0.00251892	0.0408568	0.778616	0.130005	0.0184518	0.02449	0.00506159	0.0082392	0.0491274	0.0403395	0.892988	0.00447169	0.000911305	0.00392246	0.153707	0.00812781	0.0154595	0.00985643	0.69007	0.0434912	0.079288	0.00781586	0.00671653	0.0857702	0.112516	0.00181934	0.724536	0.0608264	0.00377652	0.0701897	0.0445339	0.119481	0.0419142	0.0453978	0.674707	
78000	-5216.14	0.937299	0.0205631	0.00877352	0.00345196	0.000880134	0.012336	0.016696	0.00282257	0.829268	0.00389758	0.148056	0.0059272	0.00584015	0.00418789	0.00514373	0.0386194	0.806105	0.109736	0.0147542	0.0112374	0.0144039	0.0119683	0.0271359	0.00159167	0.94778	0.00519076	0.000911305	0.00542206	0.226637	0.0317139	0.0107945	0.0421707	0.673035	0.00152353	0.0141246	0.0826853	0.0375561	0.0388963	0.0436812	0.0655489	0.674234	0.0573979	0.00308273	0.103227	0.0251557	0.138179	0.0370791	0.0236409	0.669636	
80000	-5221.96	0.915799	0.0194341	0.00468255	0.0180712	0.00706568	0.0240235	0.0109245	0.00200609	0.780712	0.0305516	0.169711	0.000797473	0.0038973	0.0123244	0.0377783	0.0485433	0.767894	0.130263	0.00627506	0.00642724	0.00281847	0.0119683	0.0461232	0.0040826	0.918277	0.00733045	0.000911305	0.0113076	0.206401	0.0298597	0.0656306	0.00144654	0.666827	0.00355458	0.0262801	0.0121435	0.054433	0.0923071	0.149165	0.0183448	0.670786	0.00282138	0.00780255	0.150774	0.0541149	0.101453	0.00879256	0.00668771	0.670375	
82000	-5213.8	0.91982	0.0184048	0.0395822	0.000912798	0.0143465	0.00621329	0.000720416	0.00325818	0.78212	0.00483182	0.160808	0.00274785	0.0242816	0.0219525	0.0102659	0.00306801	0.795491	0.148599	0.000989883	0.0208866	0.0206998	0.0429798	0.0712454	0.0125842	0.853641	0.00733045	0.000911305	0.0113076	0.240845	0.0398378	0.0110915	0.0101649	0.681901	0.00539509	0.010765	0.0771209	0.0740542	0.0314098	0.0979571	0.0130321	0.672993	0.033433	0.00649321	0.163576	0.00755448	0.0788194	0.0626101	0.00826279	0.672685	
84000	-5209.68	0.889353	0.0110141	0.018764	0.000912798	0.0475547	0.00621329	0.0261881	0.026884	0.736632	0.0123324	0.194201	0.013614	0.00263962	0.0136969	0.00973169	0.0279983	0.842515	0.0999334	0.00561593	0.0136831	0.000522734	0.0219879	0.0707569	0.00737362	0.88772	0.00646093	0.00292907	0.00277177	0.206859	0.0592668	0.00437551	0.00952991	0.674228	0.0112023	0.0345388	0.0299945	0.0524298	0.0830279	0.106419	0.0145223	0.696972	0.0166343	0.0136844	0.143034	0.059925	0.0854448	0.0102028	0.0153138	0.672395	
86000	-5245.44	0.957607	0.0152582	0.000906496	0.00735419	0.003581	0.00621329	0.00907972	0.000387419	0.755463	0.0266896	0.181678	0.00509247	0.00480704	0.0258828	0.022355	0.0469411	0.823281	0.084639	0.0184229	0.00431663	4.47095e-005	0.0347774	0.0444979	0.0502043	0.859566	0.00646093	0.000180228	0.00431276	0.198396	0.0385287	0.0457554	0.000503682	0.66732	0.0470088	0.0024866	0.0145833	0.036999	0.15765	0.029246	0.0191069	0.713894	0.0285211	0.0156697	0.132154	0.10739	0.041577	0.0112963	0.0117316	0.680182	
88000	-5240.26	0.89495	0.00806468	0.0398321	0.0061413	0.0171615	0.0156052	0.0182447	0.0187966	0.771617	0.0141931	0.159679	0.0157962	0.00957928	0.010339	0.0155468	0.0329548	0.807891	0.105978	0.0330268	0.000893213	0.00370921	0.0124775	0.0854792	0.0151752	0.86012	0.00250969	0.0219628	0.00227539	0.205736	0.050532	0.00376804	0.0304477	0.679679	0.0066765	0.0231604	0.0370023	0.0367026	0.129985	0.10832	0.011805	0.676177	8.14052e-006	0.0170349	0.130249	0.0759269	0.0500065	0.0035675	0.0279339	0.695281	
90000	-5248.49	0.928699	0.0162935	0.00901403	0.00581813	0.0303225	0.00656276	0.00328966	0.00529882	0.759111	0.00826422	0.182551	0.0192017	0.0148827	0.0106909	0.00546406	0.0138311	0.815978	0.101864	0.0430475	0.00585075	0.0139651	0.0272329	0.0606785	0.00746797	0.885607	0.0162965	0.000441721	0.00227539	0.246287	0.0317604	0.0195764	0.0125253	0.676799	0.00333551	0.00971664	0.103206	0.0224506	0.101727	0.0800984	0.0057308	0.676583	0.0102044	0.0357265	0.136785	0.0481956	0.0771634	0.0317528	0.00333341	0.667044	
